# Solid Silica - BKS potential, melted and quenched
# 216 atoms, T~1000K, dens~2.295g/cm^3
# NVE, dt = 1.0 fs, 50 ns, output_step = 1.0 fs
# Temperature = 1065.705630 K, Volume = 3130.431110818 A^3
# LAMMPS metal units
c_flux1[1] c_flux1[2] c_flux1[3]
-57.463753 -81.037341 -394.92167
-39.728883 99.334168 -215.77093
-19.290296 268.16748 -33.894905
-1.4822542 421.00056 143.60524
9.0404427 553.7407 309.69508
9.7682578 662.91442 458.5011
1.5886293 745.88997 586.21064
-11.001567 801.2252 691.53372
-21.186221 828.53785 775.73074
-22.094802 828.34633 842.12989
-9.3210303 801.85091 895.50036
17.320134 750.76558 941.07155
53.306304 677.15939 983.59693
90.519948 583.28671 1026.0224
119.42425 471.40985 1068.6668
131.64569 343.85293 1108.9452
121.98728 203.25821 1141.9063
89.586181 52.906856 1161.3739
37.678419 -103.05088 1161.5435
-27.62174 -259.64974 1138.0992
-98.906199 -411.38027 1089.0174
-169.16581 -552.30103 1014.663
-232.87046 -676.01126 917.19817
-286.68254 -775.72777 800.14316
-329.24743 -844.94068 667.69381
-360.57819 -878.33432 524.26419
-381.12015 -872.82945 374.3752
-390.83751 -828.1551 222.90561
-388.58702 -746.94242 75.61532
-371.94659 -634.45909 -60.410093
-337.99079 -497.89713 -176.82666
-284.61669 -345.4675 -264.81886
-212.00089 -185.50125 -316.8093
-123.35713 -25.706042 -328.3163
-24.516305 127.14288 -299.41619
77.438456 267.25049 -235.12256
175.99255 389.69967 -144.53097
266.82604 490.30524 -38.892134
348.70613 565.67155 70.600978
423.10075 613.4291 174.86505
492.60883 632.67433 268.08075
558.74026 624.21001 347.69133
620.53695 590.75425 413.68378
674.48609 536.90544 467.68085
715.97024 468.88332 512.23879
741.51133 393.6943 550.57104
750.9052 317.86474 586.18664
748.14855 246.08972 622.2248
740.72552 180.43858 660.37728
737.52336 120.38974 699.68393
746.07171 63.756721 735.84437
770.19875 8.0039014 761.1314
808.80784 -48.496176 765.25951
856.41678 -105.55288 736.94073
904.75453 -160.78012 666.02021
944.9957 -209.90647 545.59635
969.48601 -247.62391 373.60198
972.42806 -268.74014 153.56901
949.74935 -269.11303 -105.5473
898.74472 -246.3777 -390.33459
818.01337 -200.17241 -684.23782
707.70644 -132.1519 -969.07732
569.83699 -45.599677 -1226.4677
408.35679 54.876713 -1439.4843
229.03381 163.76525 -1594.2629
39.200296 274.86137 -1681.488
-152.68462 381.71161 -1697.39
-337.7698 478.01714 -1644.2074
-507.70994 557.93972 -1529.6303
-655.76338 616.45658 -1365.4049
-777.71261 649.88004 -1164.9957
-872.16548 656.30934 -941.2547
-939.99956 636.17315 -704.52806
-983.30992 592.44275 -461.77168
-1004.3629 530.31776 -216.80836
-1004.8826 456.67202 28.629529
-985.56761 378.97089 273.41374
-946.08668 304.18288 515.66282
-885.77701 237.84494 751.99995
-804.49533 183.49101 977.31594
-703.32448 142.73605 1185.4041
-584.67762 115.74697 1369.6797
-452.25375 101.89116 1524.1366
-311.08478 100.3074 1643.4883
-167.61999 110.17349 1723.2165
-29.709521 130.48631 1759.4732
93.827377 159.96833 1749.3106
194.14893 196.94117 1691.4266
263.65419 239.5506 1587.0466
297.08368 286.04667 1440.7195
292.22392 334.99885 1260.5032
250.14714 385.39014 1057.3408
174.9062 436.51484 843.60115
73.225743 487.76193 631.2661
-46.256819 538.33692 430.24641
-173.71904 586.96656 247.3412
-299.15212 631.9604 86.07343
-413.22871 671.4515 -52.8741
-508.12367 703.94272 -170.79677
-578.23047 728.6733 -270.33667
